User Photo,User Name,Rank,Time,text,sentiment
https://lh3.googleusercontent.com/a-/ALV-UjVo_rGMQgNYXX9Jk5Y8qCXdhlwRj5rqKIEH40IHyxOv_UvucHNp=w36-h36-p-rp-mo-br100,miguel rausch,2 reviews,a year ago,"Worst hamburger ever. Tasteless, unshaped, and couldn't Even finish the coke. Worst 15 dollars spent in a really long time",1
https://lh3.googleusercontent.com/a/ACg8ocIpRZT5332HL1rBkgTiqEQhkNv7wPJdj0XUJFFjjNvQ5BR9Uw=w36-h36-p-rp-mo-ba4-br100,david santamaria,Local Guide · 125 reviews,2 years ago,"Food and service was good but way too packed, no seats and everyone is on top of each other. The location has a lot of tourists so makes sense but I wouldn't recy going during the holiday season, just way too busy and hard to get seat",2
https://lh3.googleusercontent.com/a-/ALV-UjXfpCdo1muyz0aZD7kBD0gki0bg2fpXSneYD5ZbOo8as-Cb9l5eMw=w36-h36-p-rp-mo-ba5-br100,Shiv Panaich,Local Guide · 108 reviews · 519 photos,6 years ago,Food was average I have been to five guys before on the west coast but this didn't live up to the general quality of food. Perhaps the chef's were having a bad day but the beef was overcooked and dry and the presentation was lack luster even by the usual standard,2
https://lh3.googleusercontent.com/a-/ALV-UjUhzS79aCNwbI0ScaplgYl85Fod_ZxCp4y95uy9SKchVwu86ZHy=w36-h36-p-rp-mo-br100,전성호,3 reviews · 2 photos,5 years ago,"the woman who takes orders is so rude and unkind. I think that's because i'm Asian. What i did was only change my menu while ordering, she said ""oh my god"" and treated me as if i'm an idiot. the taste of burger is just soso and a bit greasy. I don't want to visit again here.",2
https://lh3.googleusercontent.com/a-/ALV-UjW6esdap_W-hcqErby_tY7_VmJemRe-mq4NkBR1ljDLp129aHKV=w36-h36-p-rp-mo-ba2-br100,Ken Fowler,Local Guide · 29 reviews,5 years ago,"Ordered online. Arrived a few minutes after the meal was supposed to be ready. When I got there, they told me my meal was on the table being prepared. After a while, they realize it was already done and in a bag, just sitting there and getting colder.",2
https://lh3.googleusercontent.com/a-/ALV-UjXP2TME3vf-V6HLhp4-yDK9p9QrVfFyj9WwJIrGOuZs742HdjV6=w36-h36-p-rp-mo-ba3-br100,Dweene Flores,Local Guide · 30 reviews · 59 photos,2 years ago,"Fries were bussin, burger was insanely good, it was my first time eating Five Guys food and I just want to go back!.",1
https://lh3.googleusercontent.com/a-/ALV-UjXVpdxPFL-6SSZnb2oVWBduRaCSCmOdHKHwQbc8-r1EfSQHKSR_=w36-h36-p-rp-mo-ba3-br100,Raúl Ramírez,Local Guide · 39 reviews · 5 photos,a year ago,The worst Five Guys I've been into. The employers don't spread the values that the company has. Everything was dirty.,1
https://lh3.googleusercontent.com/a-/ALV-UjUQY2wqf3IZvaNFhu8z2565nQot2xMGBxoy1lD7pQ1_LxKwUOzNtw=w36-h36-p-rp-mo-ba4-br100,James Ferguson,Local Guide · 145 reviews,4 years ago,"My first five guys, and either this one is not representative, or the emperor has no clothes.  Limp wet fries.  The burger was good but very ordinary.",2
https://lh3.googleusercontent.com/a-/ALV-UjXSSLQ-Au54325U_S0ZbyxnpBa7I_mhbfVjYkugR0CZ6RwWZIuqzw=w36-h36-p-rp-mo-ba6-br100,Jeff Yablon,"Local Guide · 1,085 reviews · 230 photos",4 years ago,"Really slow. No shakes. Small. And the order taker never asked what I wanted on my burger (luckily, I noticed the error on my receipt).",2
https://lh3.googleusercontent.com/a-/ALV-UjVVqcTY6ZFNGOBR_Px-TZDegVba_px0vZqMd-zEYgR2BfQq7CAHJA=w36-h36-p-rp-mo-ba3-br100,Jordan Carlyon,Local Guide · 47 reviews · 96 photos,6 years ago,"Soggy fries, slow service and the entire bag was so soggy I couldn't tell if the bun was even toasted. 1/5 probably will make the mistake of going here again though.",2
https://lh3.googleusercontent.com/a-/ALV-UjXcMgu6cvk21AbHXBjjPovWo-zy-oNzWJ_JEe-J59qwqcgFqxqj=w36-h36-p-rp-mo-ba5-br100,Mark Clemons,Local Guide · 300 reviews · 13 photos,4 years ago,Too many people and no provisions in place to handle them. It was one big Moshe pit with no real way out. The Xmas setup is nice but not worth the fight to see it.,2
https://lh3.googleusercontent.com/a/ACg8ocKkpZ8tapySFGLZ2hurVJTf1W2JeAmzATDLKQh642ZoGCmFqw=w36-h36-p-rp-mo-br100,Juan Ignacio Martínez,7 reviews · 3 photos,10 months ago,"You will be kicked out if you are a party of 5 or more, they don't serve you.",1
https://lh3.googleusercontent.com/a-/ALV-UjXEHFI1oHRd4JqKgUmODAb7ro7lmk5ls1YDTzHJiwcnZ4zb8hKK=w36-h36-p-rp-mo-ba5-br100,Jose Ignacio Cavalli,"Local Guide · 235 reviews · 1,262 photos",2 years ago,Terrible burgers and fries. As greasy as can be. Depressing place. Not cheap. Waste of time and money,1
https://lh3.googleusercontent.com/a-/ALV-UjU1-UZEpDcIirLRPKzV_gay39jHaB93JhyTh29JtInRUEO4kgE=w36-h36-p-rp-mo-ba6-br100,david co,"Local Guide · 645 reviews · 3,210 photos",2 years ago,Burger is above average.  Not the best. Fries are over cooked,2
https://lh3.googleusercontent.com/a/ACg8ocJ1tQCY7qsuVslFcq_Ql4Zp3q8_DUfhHdhUDbVmRN8ymlCAwSM=w36-h36-p-rp-mo-ba6-br100,Rohan,"Local Guide · 337 reviews · 3,054 photos",5 years ago,"Easily crowded, difficult to find seat.",2
https://lh3.googleusercontent.com/a-/ALV-UjXLbtxM4mBodV2JC_bzcn6b5CYKFWCwKsGKLEZz5wzaalDgrKA=w36-h36-p-rp-mo-br100,Sebastian Mejia,5 reviews · 1 photo,a year ago,Took 50 min for a chesseburguer and a hotdog and the local wasn't full.,1
https://lh3.googleusercontent.com/a-/ALV-UjUN0_pDFeTK3CD1ts6drKQaqvPJT_ZMnWQTJPkNBrXvjhVAwMcOhA=w36-h36-p-rp-mo-ba2-br100,Joe Monsanto,Local Guide · 13 reviews · 9 photos,9 years ago,They appear to simply throw the food together without paying attention to the presentation.  You're paying 10 dollars for a burger at least make it look appealing.,1
https://lh3.googleusercontent.com/a-/ALV-UjVD71wUsBrUt0kgYi_24KLd3QKO2CBjLVEZFQfYY9HtVMT1MF6aug=w36-h36-p-rp-mo-ba4-br100,Erick Cruz,Local Guide · 81 reviews · 138 photos,2 years ago,"I went in to get something to go, the greeter said to order from the bar and the bartender told me they don't take orders and that was it, like I don't count.  I left.",1
https://lh3.googleusercontent.com/a-/ALV-UjX3ct5CnbHLCBm5hc-yKhIxA6HI3CAhnut6I9k3sseedwrrnA2k=w36-h36-p-rp-mo-ba4-br100,Katherina Fatiguso,Local Guide · 226 reviews · 290 photos,6 years ago,"Can't think of better burgers, hot dogs and fries in NYC than Five Guys, so yummy.",1
https://lh3.googleusercontent.com/a/ACg8ocIZ70RbDn6XdJ7dvKIub6p__pOzcMAuSbJwnWVmCcdzKXWiwQ=w36-h36-p-rp-mo-br100,shrinath shorey,5 reviews,a year ago,Extremely rude staff. Bad attitude and bad manners. Never going to visit this place again.,1
https://lh3.googleusercontent.com/a/ACg8ocKsy0Q6R3PiXvoETty067J1Ee0R4lXYsBmsrUziZPWQdAFNkw=w36-h36-p-rp-mo-ba6-br100,Daniel Morris,"Local Guide · 847 reviews · 1,345 photos",5 years ago,The service was very slow we asked for the food for eat in and they gave it to us in a paper bag and the peanuts were empty which is one of the Staples of this restaurant,2
https://lh3.googleusercontent.com/a/ACg8ocKghGuz0ZqFBcXKcYlqxZdbGpdXYYx8x58HUuNjL2IHiLWvIGA=w36-h36-p-rp-mo-ba3-br100,Luca Ferraris,Local Guide · 40 reviews · 2 photos,4 years ago,If you are a New York and you want to eat a burger there is no choice... You have to go here.,1
https://lh3.googleusercontent.com/a-/ALV-UjXGHif_emIM6hue-PJUnoLEDMgWyKggq7Xx9cNpyFjv2SV9JrPn=w36-h36-p-rp-mo-ba5-br100,Rami Tissawak,Local Guide · 594 reviews · 79 photos,6 years ago,Hmmmmm eat until you die but not this burger it's hmmmmm,1
https://lh3.googleusercontent.com/a-/ALV-UjXoMZKFC1dDENUxVqCQef7vEndUG1z-ouT49OkB3xmW4Lnbgb3WuA=w36-h36-p-rp-mo-ba4-br100,Holger Flier,Local Guide · 97 reviews · 24 photos,a year ago,This one does not have shakes. Shame.,1
https://lh3.googleusercontent.com/a-/ALV-UjXj_-quBV8QvwjwPqmpiFvJs4H5clEG8LvfEzQwAwlG9FV3kW7Z=w36-h36-p-rp-mo-ba4-br100,Murat Bingol,Local Guide · 121 reviews · 47 photos,4 years ago,Fries were really bad and the burger was not tasty,1
https://lh3.googleusercontent.com/a-/ALV-UjWOnfjhxhzaxiHYA9Ess70ZQtdLKOQbG4jXDHjhVlkglir5YH4Ohg=w36-h36-p-rp-mo-ba4-br100,Anurag Shetty,Local Guide · 217 reviews · 258 photos,2 years ago,"Very slow, overpriced for veggie burger",2
https://lh3.googleusercontent.com/a-/ALV-UjWtTvqlQz4YWVomV7z6mulKoNazRarmsRmJeh1W4PSadagFkc-4=w36-h36-p-rp-mo-ba4-br100,Russell Bradley,Local Guide · 26 reviews · 5 photos,a year ago,Poor very poor...!!  The place was dirty.,1
https://lh3.googleusercontent.com/a-/ALV-UjVN-HDRMHLbVIGqlr6Ty0JTaAkXtorVyW6gr7D1QWkly98puMXMIA=w36-h36-p-rp-mo-ba3-br100,Bruno Maeda,Local Guide · 33 reviews · 113 photos,6 years ago,"I'd eat there every day till I die, if I could resurrect.",1
https://lh3.googleusercontent.com/a-/ALV-UjVDyCPkAS7StiGHCTcB6sKJeqe3q8mskalZYNizpteF5oKykLVs=w36-h36-p-rp-mo-ba4-br100,Andrzej Tkacz,Local Guide · 41 reviews · 287 photos,2 years ago,"Very crowded, with all covid regulations being breached...",1
https://lh3.googleusercontent.com/a/ACg8ocKHpLUWGzsN7pl8TYUHsqmIwU6E_CRrFNbCIdE4IpZXayW9BA=w36-h36-p-rp-mo-br100,sharon diaz,1 review,8 years ago,NO SHAKES WHAT BURGER PLACE DON'T HAVE SHAKES  ... EVERY BURGER PLACE I KNOW HAVE SHAKES GDI,1
https://lh3.googleusercontent.com/a/ACg8ocLCXU3kQFoqDzxTbQXW2HIhFsAQFoL0xtoXslmIBUNhene80w=w36-h36-p-rp-mo-ba4-br100,Thomas Rottinghaus,Local Guide · 112 reviews,5 years ago,"If I could have rated this place lower I would have. Greasy, smelly place.",2
https://lh3.googleusercontent.com/a-/ALV-UjXyLox3NADXP3Xvf0P-Z474S6MNGtNEJ7GaM4vfzIKIDjK2ytX7pA=w36-h36-p-rp-mo-ba5-br100,Piotr Myszkorowski,Local Guide · 516 reviews · 430 photos,6 years ago,"As a European, too much hype around this place, go once for the experience though",2
https://lh3.googleusercontent.com/a-/ALV-UjU3E09mEw0DqWBZsa1d8sIWkQZmXIGNKLXrbPVswXMhleX4chg=w36-h36-p-rp-mo-ba4-br100,Dan Troge,Local Guide · 178 reviews · 42 photos,5 years ago,They lost my order. . Took way too long.,2
https://lh3.googleusercontent.com/a-/ALV-UjX9b8YM8N8phZcnAktkDRjzo0CmOj9A1AzxaETYAncxI3BPGec3=w36-h36-p-rp-mo-ba5-br100,Daniel Epstein,Local Guide · 225 reviews · 229 photos,6 years ago,Disappointing. Thin burger and way overpriced.,2
https://lh3.googleusercontent.com/a/ACg8ocLQfgHwNIwgA5CX51bpYIFqNwsg7Xok56JUm1v_aJLo6rKLjA=w36-h36-p-rp-mo-ba3-br100,Miriam Galeno,Local Guide · 46 reviews · 15 photos,2 years ago,"HORRIBLE Customer Service!!!

Rude cashier!",1
https://lh3.googleusercontent.com/a-/ALV-UjXjXpQgqbA1eyrsns6xmK5Oq-SqtALgvHbR8u9JD3fPaogsPZtIQQ=w36-h36-p-rp-mo-ba3-br100,Matt,Local Guide · 62 reviews · 70 photos,5 years ago,"Tasty, pretty cheap but super unhealthy.",2
https://lh3.googleusercontent.com/a-/ALV-UjU03CME0BmI0pZUbVlOfeSjLUBndSIFOyOIpHqAHztlDrId70gxDA=w36-h36-p-rp-mo-ba5-br100,Merter Bozkuş,Local Guide · 172 reviews · 177 photos,6 years ago,Why can't I stop myself when I see one of these places?,1
https://lh3.googleusercontent.com/a-/ALV-UjVLJcUX7ILKFz0Xgi99shdSLZcsCYS8gOWXFJQdr_4PDH4fLaTn=w36-h36-p-rp-mo-ba5-br100,Mark Murray,Local Guide · 260 reviews · 293 photos,5 years ago,Pick up window window very slow in five guys.,2
https://lh3.googleusercontent.com/a-/ALV-UjWnWC1FVf9B1ySJgVqD2z_jtLZu1Sxf64Zm615srsG1eDcQEoML=w36-h36-p-rp-mo-ba5-br100,Abhishek Singh,Local Guide · 169 reviews · 515 photos,a year ago,Very bad staff,1
https://lh3.googleusercontent.com/a-/ALV-UjVidpX5-kRFFLIp7COmwfymehVg8f2wUyE4E6hHvAzs3HyfM5aM=w36-h36-p-rp-mo-ba3-br100,D. L. Dozier Jr.,Local Guide · 46 reviews · 2 photos,5 years ago,These burgers are off the chain!!!!,1
https://lh3.googleusercontent.com/a-/ALV-UjVsMnmD39emPu9slKHnYdg6z3aFz-uj5WrG9W3gQMpIWNB1gDgovg=w36-h36-p-rp-mo-ba4-br100,Benson Ademoye,Local Guide · 53 reviews · 204 photos,a year ago,Customer service is bad,1
https://lh3.googleusercontent.com/a-/ALV-UjVh9HAJGO1XYMzJItFMKF0syPsgi698MU6g3FXRqQmvJl0hpGW3=w36-h36-p-rp-mo-ba5-br100,Andrew Westbrook,Local Guide · 161 reviews · 7 photos,5 years ago,"Greasy burgers, slow.",2
https://lh3.googleusercontent.com/a/ACg8ocIyt_HD0562AxQXsMP32pdPpALkkPvrokOMt1idYOuxJM_u7A=w36-h36-p-rp-mo-br100,Katherine peter,10 reviews,2 years ago,It's too crowded,2
https://lh3.googleusercontent.com/a/ACg8ocLdZdG537VD8iST3FpEcifM4PhcV4loA0qPx9IHmGpu7sfIyc7k=w36-h36-p-rp-mo-ba4-br100,Karen “Kcreatividad” J,Local Guide · 103 reviews · 15 photos,6 years ago,Junk food,1
https://lh3.googleusercontent.com/a/ACg8ocKOthKizMFRKuu9Dh4awGwAq7VPhuH95A9gkJ6fVpGDPdaRVA=w36-h36-p-rp-mo-br100,Mohamed Elgawhergy,225 reviews · 113 photos,5 years ago,Poor service at this location.,1
https://lh3.googleusercontent.com/a-/ALV-UjXBjCW0ulqx87p9y1I9oROoIMMwfJm95ZXMSYwnWcajSzRgHTul=w36-h36-p-rp-mo-ba4-br100,Mr Mike,Local Guide · 107 reviews,6 years ago,"Dirty,understaffed",1
https://lh3.googleusercontent.com/a-/ALV-UjWXtmkRbp69As5341iXLHURRE_hPnJWVc5jl2oNwOicL38VxDk=w36-h36-p-rp-mo-ba4-br100,wm32767,Local Guide · 93 reviews · 130 photos,6 years ago,"Burgers, duh!",1
https://lh3.googleusercontent.com/a-/ALV-UjWUDNPzBEXMfrcbAAjuZOznYRdHStKS89ZgkMqmJqHq3ehH-uzzvg=w36-h36-p-rp-mo-br100,한별,46 reviews · 52 photos,6 months ago,"The store is small and the floor and tables are not clean.
What does the taste say",2
https://lh3.googleusercontent.com/a/ACg8ocJQoVezdHQq3w5JEWtrV66txb_sPOnG7XPLRQTLJyTpFY-nOQ=w36-h36-p-rp-mo-ba4-br100,NOW LIM,Local Guide · 143 reviews · 76 photos,5 months ago,"There is little space to sit and eat. While I was waiting, the clerk told me to give up my seat to other white people first. When ordering a hamburger, they don't ask for toppings and just give you bread and meat. racist restaurant",1
https://lh3.googleusercontent.com/a/ACg8ocIA91pcT058pT99rNDv5yNGj0EoXc_mdxhHiJQ4hrkU-DZFnA=w36-h36-p-rp-mo-ba4-br100,Mafalda F.,Local Guide · 265 reviews · 1 photo,11 months ago,"It doesn't seem like Five Guys anymore, it's gotten a lot worse. It was my favorite burger. Not anymore. I found the environment very dirty and the sandwich very greasy. The fries were horrible, to the point that we didn't eat them.",2
https://lh3.googleusercontent.com/a-/ALV-UjU0Pt8GyV2sjBv4E9b-Jdvmj-1K6cMBw-CcTmI2vizP2GCnffDT=w36-h36-p-rp-mo-ba5-br100,ADANCINEMA (Fotografía en Acapulco),Local Guide · 42 reviews · 432 photos,4 years ago,"It took them about 10 minutes to receive the order and even though they had almost no customers, it took another 12 minutes for the burger to be ready, they left it lying in a corner until someone went to ask for the order. I'm not coming back here.",1
https://lh3.googleusercontent.com/a/ACg8ocK4JMKuuGwwx-vSz7wj6RHMnZ1adfHOb1JQGSfoZexCzbsq-A=w36-h36-p-rp-mo-ba3-br100,Walter Marongiu,Local Guide · 41 reviews · 36 photos,7 months ago,"I didn't like it, even though it was empty I didn't even say hello and the cleanliness was definitely not the best",2
https://lh3.googleusercontent.com/a-/ALV-UjVecMR0QF62Sqr2GxyrFlkkp5v7OWweLR2ZjxtXqqDq3aScfiUp=w36-h36-p-rp-mo-ba6-br100,S13PH4N,"Local Guide · 929 reviews · 1,540 photos",10 months ago,Unfortunately it has now become quite expensive.,2
https://lh3.googleusercontent.com/a-/ALV-UjXWOcNZ5RHLN5NtoTWGAQWwqC9x4E7qQz0ZFZJRyP9AlOSs6GlS9A=w36-h36-p-rp-mo-ba2-br100,Emeline Heems,Local Guide · 18 reviews · 1 photo,a year ago,"Rude saleswoman who shouts at other employees throughout our meal.
Also unpleasant with tourists at the checkout.
Be careful who you employ. It's horrible to hear this while we eat",1
https://lh3.googleusercontent.com/a-/ALV-UjW9XOQxeGaq_Sn7uBYVMt9ywceQ__sD3WNz-NhO_PDMp-b0W2vL=w36-h36-p-rp-mo-ba3-br100,高丁牛（DN）,Local Guide · 15 reviews · 8 photos,6 months ago,The underground is not clean and it is slippery to walk on.,2
https://lh3.googleusercontent.com/a/ACg8ocIxei65uS3bf20KIyc1oq8saI84eJLKMKADDrn_8XMT5ExStw=w36-h36-p-rp-mo-br100,Maria Moran,14 reviews · 2 photos,a year ago,Fast food waiting more than half an hour for the order...not very fast food. There were almost no people but the organization was horrible.,1
https://lh3.googleusercontent.com/a/ACg8ocKEVeDhE0GxV2wEA_VX6uCaxhUid_WYzuOJrvWYCgd4A1B4mA=w36-h36-p-rp-mo-br100,constance,4 reviews · 1 photo,4 years ago,"The person taking orders is very rude and very unprofessional. Haughty look, did not want to take my order but only my husband's. Incredible behavior. To flee",1
https://lh3.googleusercontent.com/a-/ALV-UjVTtsg-aFhEiL9zXziMzuaeKobfCcfk53_fQk-BIon_cRQ2kPR9OA=w36-h36-p-rp-mo-ba5-br100,victor medrano,Local Guide · 142 reviews · 484 photos,11 months ago,It was a bland and simple meal. Nothing they offer. I don't recommend it at all.,1
https://lh3.googleusercontent.com/a-/ALV-UjVdriqvxS6FcW5XoTB1-yVFRY59JMb5k6dy3YUTc5isp8f71m4=w36-h36-p-rp-mo-ba2-br100,Benjamin Temps,Local Guide · 18 reviews,4 years ago,Person taking order is truly a despicable person. In a hurry to go back and clean the place in order to leave work as quickly as possible. No respect for customer,1
https://lh3.googleusercontent.com/a-/ALV-UjXy4blplAa5Jxc5LBDPRNnKCtpQgeoLDv2A_glF9sli9uh6EP6LdQ=w36-h36-p-rp-mo-br100,Jose Angel Sancho,9 reviews,2 years ago,The burgers were good but there was hardly any place to sit and it was dirty. a shame,2
https://lh3.googleusercontent.com/a-/ALV-UjWwVMY-59fyg_NI_jlbypZn62oCFcXs0n6nq6wO8WwgRJahCJ3BBA=w36-h36-p-rp-mo-ba3-br100,Marco Gonzalez,Local Guide · 10 reviews · 56 photos,8 months ago,"Very ugly food, ugly place, friendly employees",1
https://lh3.googleusercontent.com/a-/ALV-UjWHs_vX9SQhYnJI-ry6JjpDR1AsShoRMwRmZiUXPUp_XxQ767ev-w=w36-h36-p-rp-mo-ba4-br100,Fabrizio Bovinho,Local Guide · 83 reviews · 187 photos,7 years ago,"Nice concept, but as always in these places, highly unpleasant staff, and almost $25 for two burgers and a coke, even in NYC there are limits...",2
https://lh3.googleusercontent.com/a-/ALV-UjUWZUBXFaGxyqLkIqjOl8fqu62Hl6o6kKFy_1Rld8yNQ8430qka=w36-h36-p-rp-mo-ba5-br100,Bona Park,Local Guide · 275 reviews · 946 photos,5 years ago,Just tastes like a hamburger?? No special taste... I think the homemade burgers I ate in Korea taste better to my taste...,2
https://lh3.googleusercontent.com/a-/ALV-UjU4UyH7N23uLlIOA3D0PXQ0UnXxbW1CeN7ytJl5QVXo6PmgyAc=w36-h36-p-rp-mo-ba5-br100,Brooke Schielt,Local Guide · 394 reviews · 104 photos,7 years ago,You should know that all side dishes are included. We didn't know and we made a real fool of ourselves,1
https://lh3.googleusercontent.com/a-/ALV-UjUQlWAV1_p5pLZR_jSOb3GA5UJByMmIi42HFF8AN43RZug2E5g=w36-h36-p-rp-mo-ba5-br100,Rafael Galvez,"Local Guide · 271 reviews · 1,387 photos",6 years ago,"Personally, I thought the burger was too funny, the place was poorly maintained and the fries didn't look good.",2
https://lh3.googleusercontent.com/a-/ALV-UjVx-WUrOWSoSY7kibdH1iDiR7gLWaeIigphT6g0Uj1vOc9RhOE=w36-h36-p-rp-mo-ba5-br100,Spiros Koukidis,Local Guide · 310 reviews · 285 photos,a year ago,"Two stars and many are, complete disappointment.",2
https://lh3.googleusercontent.com/a-/ALV-UjWlHy5O3XkWM_SQuSGWPf1e8RQo07vkz1SdCwyuXTaAF2Uofzi-gw=w36-h36-p-rp-mo-ba4-br100,valou vamaro,Local Guide · 68 reviews · 5 photos,6 years ago,Honestly a restaurant not close. Not great burgers. I don't understand that these are Obama's favorites,2
https://lh3.googleusercontent.com/a-/ALV-UjXpyL_SJ-CDFxLUl7uzHegQ_pgFbeQo2MklFsBzmqRyFPFrXK7q=w36-h36-p-rp-mo-ba4-br100,Santiago Occhiuzzi,Local Guide · 80 reviews · 378 photos,5 years ago,Very expensive and the burger was super small. A disappointment. The only good thing was the music,2
https://lh3.googleusercontent.com/a-/ALV-UjXXamWC9rRWQ5f-X_sXZ79EMuga_VbOzF2o4a20V2oC8XaI5Ya_5g=w36-h36-p-rp-mo-ba5-br100,Mirjam Spremberg,Local Guide · 123 reviews · 322 photos,4 years ago,The service was absolutely nice. The mountain of garbage is unearthly and cannot be rated any better.,1
